"","State","County","Hispanic","White","Black","Asian","Native","Pacific","Income","TotalPop","Men","Women","Citizen","hospital_count","population_hospital_ratio"
"1931","Oklahoma","jackson",17,70.25,5.85,1.2,0.95,0,46565,26056,12887,13169,18366,32,814.25
"1932","Oklahoma","jefferson",7.8,74.2,0.7,0,4.9,0,33478,6333,3207,3126,4774,47,134.744680851064
"1933","Oklahoma","johnston",4.2,71.3,2.2,0.3,6.7,0,41825,11022,5406,5616,8349,2,5511
"1934","Oklahoma","kay",6.9,76,1.2,0.2,5.9,0,42219,45587,22556,23031,33521,2,22793.5
"1935","Oklahoma","kingfisher",9.75,82.45,0.35,0,2.6,0,59988,15302,7651,7651,10458,1,15302
"1936","Oklahoma","kiowa",9,79.3,4.2,0.1,4.2,0,38750,9302,4599,4703,6993,3,3100.66666666667
"1937","Oklahoma","latimer",3.9,67.4,1.3,0.8,14.9,0,36532,10774,5462,5312,8247,2,5387
"1938","Oklahoma","le flore",3.7,72.7,1.65,0.35,9.9,0,36853.5,49899,25046,24853,36575,2,24949.5
"1939","Oklahoma","lincoln",3.2,84,1.3,0,6,0,45313,34504,17171,17333,25777,26,1327.07692307692
"1940","Oklahoma","logan",4.1,76.1,8.85,0.2,3.95,0,44784,44493,21995,22498,33431,9,4943.66666666667
"1941","Oklahoma","love",8.1,77.4,1.8,0.6,6.3,0,50286,9663,4742,4921,6894,1,9663
"1942","Oklahoma","major",9.9,87.3,0,0,2.4,0,53750,7700,3854,3846,5637,1,7700
"1943","Oklahoma","marshall",6.35,74.3,0.6,0,6.05,0,40295.5,16014,7979,8035,11485,12,1334.5
"1944","Oklahoma","mayes",2.7,66,0.2,0.2,9.7,0.2,37899,41007,20370,20637,30551,1,41007
"1945","Oklahoma","mcclain",5.4,80,0.35,0.4,5.95,0,55377,36512,18217,18295,26377,1,36512
"1946","Oklahoma","mccurtain",5.5,62.8,5.35,0,11.7,0,33224.5,33143,16260,16883,24289,1,33143
"1947","Oklahoma","mcintosh",2.15,64.2,2.4,0.4,15.05,0,35089.5,20280,10013,10267,16055,2,10140
"1948","Oklahoma","murray",6.1,74.1,1.3,0,4.7,0,48859,13733,6832,6901,10336,3,4577.66666666667
"1949","Oklahoma","muskogee",4.35,57.5,7.95,0.05,15.75,0,43674,70224,34335,35889,51643,1,70224
"1950","Oklahoma","noble",2.05,88.1,1.35,0,4.55,0,49801.5,11506,5626,5880,8625,2,5753
"1951","Oklahoma","nowata",2.6,66,0.85,0.2,19.65,0.1,39552.5,10555,5211,5344,8008,1,10555
"1952","Oklahoma","okfuskee",4.3,62.6,5.2,0.15,15.1,0,37394,12248,6585,5663,9287,1,12248
"1953","Oklahoma","oklahoma",8.05,60.2,9.3,1.7,2.3,0,42052.5,754480,369112,385368,509993,18,41915.5555555556
"1954","Oklahoma","okmulgee",3.55,65.25,6.25,0,13.25,0,40637,39446,19604,19842,29694,2,19723
"1955","Oklahoma","osage",3.2,74,1.4,0,15.5,0,43924,48054,24068,23986,36582,3,16018
"1956","Oklahoma","ottawa",4.5,66.8,0.4,0.7,14.3,0.3,36556,32085,15750,16335,23767,6,5347.5
"1957","Oklahoma","pawnee",3.1,80.1,1.2,0.1,8.8,0,48250,16499,8264,8235,12410,3,5499.66666666667
"1958","Oklahoma","payne",4.5,80.4,2.3,1.9,4.3,0,40433,79423,40596,38827,60308,2,39711.5
"1959","Oklahoma","pittsburg",3.8,71.8,2.1,0.2,8.9,0,42718,44961,22859,22102,34492,1,44961
"1960","Oklahoma","pontotoc",4.55,67.45,1.45,0.15,7.2,0,47053.5,38055,18595,19460,28474,3,12685
"1961","Oklahoma","pottawatomie",4.55,73.3,2.6,0.6,12.55,0,44160.5,71136,33906,37230,53109,3,23712
"1962","Oklahoma","pushmataha",3.3,72.9,1.5,0.2,12.1,0,31494,11226,5503,5723,8656,1,11226
"1963","Oklahoma","roger mills",6.5,84.9,0.1,0,1.8,0.1,50739,3780,1888,1892,2770,1,3780
"1964","Oklahoma","rogers",4.1,72.5,0.4,0.6,12.4,0,59007.5,89190,44355,44835,65958,2,44595
"1965","Oklahoma","seminole",3.9,67,4.4,0,16.8,0,38542,25481,12450,13031,18781,3,8493.66666666667
"1966","Oklahoma","sequoyah",3.6,64.9,1.3,0.6,15.1,0,35694,41464,20506,20958,31046,1,41464
"1967","Oklahoma","stephens",5,83.3,1.3,0,4.9,0,46842,44806,21808,22998,33429,3,14935.3333333333
"1968","Oklahoma","texas",37,61.2,0.7,0.9,0.1,0,50750,21588,11340,10248,11551,2,10794
"1969","Oklahoma","tulsa",7,70.8,6.1,1.3,4,0,47253,623335,303789,319546,432516,12,51944.5833333333
"1970","Oklahoma","wagoner",4.3,74.1,1.95,0.55,5.95,0,60676,75391,37173,38218,54897,1,75391
"1971","Oklahoma","washington",6.8,73,1,0.7,9.3,0,47679,51760,25011,26749,38340,44,1176.36363636364
